,County,Population
820,".Emmet County, Iowa",9208
821,".Fayette County, Iowa",19650
822,".Floyd County, Iowa",15642
823,".Franklin County, Iowa",10070
824,".Fremont County, Iowa",6960
825,".Greene County, Iowa",8888
826,".Grundy County, Iowa",12232
827,".Guthrie County, Iowa",10689
828,".Hamilton County, Iowa",14773
829,".Hancock County, Iowa",10630
830,".Hardin County, Iowa",16846
831,".Harrison County, Iowa",14049
832,".Henry County, Iowa",19954
833,".Howard County, Iowa",9158
834,".Humboldt County, Iowa",9558
835,".Ida County, Iowa",6860
836,".Iowa County, Iowa",16184
837,".Jackson County, Iowa",19439
838,".Jasper County, Iowa",37185
839,".Jefferson County, Iowa",18295
840,".Johnson County, Iowa",151140
841,".Jones County, Iowa",20681
842,".Keokuk County, Iowa",10246
843,".Kossuth County, Iowa",14813
844,".Lee County, Iowa",33657
845,".Linn County, Iowa",226706
846,".Louisa County, Iowa",11035
847,".Lucas County, Iowa",8600
848,".Lyon County, Iowa",11755
849,".Madison County, Iowa",16338
850,".Mahaska County, Iowa",22095
851,".Marion County, Iowa",33253
852,".Marshall County, Iowa",39369
853,".Mills County, Iowa",15109
854,".Mitchell County, Iowa",10586
855,".Monona County, Iowa",8615
856,".Monroe County, Iowa",7707
857,".Montgomery County, Iowa",9917
858,".Muscatine County, Iowa",42664
859,".O'Brien County, Iowa",13753
860,".Osceola County, Iowa",5958
861,".Page County, Iowa",15107
862,".Palo Alto County, Iowa",8886
863,".Plymouth County, Iowa",25177
864,".Pocahontas County, Iowa",6619
865,".Polk County, Iowa",490161
866,".Pottawattamie County, Iowa",93206
867,".Poweshiek County, Iowa",18504
868,".Ringgold County, Iowa",4894
869,".Sac County, Iowa",9721
870,".Scott County, Iowa",172943
871,".Shelby County, Iowa",11454
872,".Sioux County, Iowa",34855
873,".Story County, Iowa",97117
874,".Tama County, Iowa",16854
875,".Taylor County, Iowa",6121
876,".Union County, Iowa",12241
877,".Van Buren County, Iowa",7044
878,".Wapello County, Iowa",34969
879,".Warren County, Iowa",51466
880,".Washington County, Iowa",21965
881,".Wayne County, Iowa",6441
882,".Webster County, Iowa",35904
883,".Winnebago County, Iowa",10354
884,".Winneshiek County, Iowa",19991
885,".Woodbury County, Iowa",103107
886,".Worth County, Iowa",7381
887,".Wright County, Iowa",12562
888,".Allen County, Kansas",12369
889,".Anderson County, Kansas",7858
890,".Atchison County, Kansas",16073
891,".Barber County, Kansas",4427
892,".Barton County, Kansas",25779
893,".Bourbon County, Kansas",14534
894,".Brown County, Kansas",9564
895,".Butler County, Kansas",66911
896,".Chase County, Kansas",2648
897,".Chautauqua County, Kansas",3250
898,".Cherokee County, Kansas",19939
899,".Cheyenne County, Kansas",2657
900,".Clark County, Kansas",1994
901,".Clay County, Kansas",8002
902,".Cloud County, Kansas",8786
903,".Coffey County, Kansas",8179
904,".Comanche County, Kansas",1700
905,".Cowley County, Kansas",34908
906,".Crawford County, Kansas",38818
907,".Decatur County, Kansas",2827
908,".Dickinson County, Kansas",18466
909,".Doniphan County, Kansas",7600
910,".Douglas County, Kansas",122259
911,".Edwards County, Kansas",2798
912,".Elk County, Kansas",2530
913,".Ellis County, Kansas",28553
914,".Ellsworth County, Kansas",6102
915,".Finney County, Kansas",36467
916,".Ford County, Kansas",33619
917,".Franklin County, Kansas",25544
918,".Geary County, Kansas",31670
919,".Gove County, Kansas",2636
920,".Graham County, Kansas",2482
921,".Grant County, Kansas",7150
922,".Gray County, Kansas",5988
923,".Greeley County, Kansas",1232
924,".Greenwood County, Kansas",5982
925,".Hamilton County, Kansas",2539
926,".Harper County, Kansas",5436
927,".Harvey County, Kansas",34429
928,".Haskell County, Kansas",3968
929,".Hodgeman County, Kansas",1794
930,".Jackson County, Kansas",13171
931,".Jefferson County, Kansas",19043
932,".Jewell County, Kansas",2879
933,".Johnson County, Kansas",602401
934,".Kearny County, Kansas",3838
935,".Kingman County, Kansas",7152
936,".Kiowa County, Kansas",2475
937,".Labette County, Kansas",19618
938,".Lane County, Kansas",1535
939,".Leavenworth County, Kansas",81758
940,".Lincoln County, Kansas",2962
941,".Linn County, Kansas",9703
942,".Logan County, Kansas",2794
943,".Lyon County, Kansas",33195
944,".McPherson County, Kansas",28542
945,".Marion County, Kansas",11884
946,".Marshall County, Kansas",9707
947,".Meade County, Kansas",4033
948,".Miami County, Kansas",34237
949,".Mitchell County, Kansas",5979
950,".Montgomery County, Kansas",31829
951,".Morris County, Kansas",5620
952,".Morton County, Kansas",2587
953,".Nemaha County, Kansas",10231
954,".Neosho County, Kansas",16007
955,".Ness County, Kansas",2750
956,".Norton County, Kansas",5361
957,".Osage County, Kansas",15949
958,".Osborne County, Kansas",3421
959,".Ottawa County, Kansas",5704
960,".Pawnee County, Kansas",6414
961,".Phillips County, Kansas",5234
962,".Pottawatomie County, Kansas",24383
963,".Pratt County, Kansas",9164
964,".Rawlins County, Kansas",2530
965,".Reno County, Kansas",61998
966,".Republic County, Kansas",4636
967,".Rice County, Kansas",9537
968,".Riley County, Kansas",74232
969,".Rooks County, Kansas",4920
970,".Rush County, Kansas",3036
971,".Russell County, Kansas",6856
972,".Saline County, Kansas",54224
973,".Scott County, Kansas",4823
974,".Sedgwick County, Kansas",516042
975,".Seward County, Kansas",21428
976,".Shawnee County, Kansas",176875
977,".Sheridan County, Kansas",2521
978,".Sherman County, Kansas",5917
979,".Smith County, Kansas",3583
980,".Stafford County, Kansas",4156
981,".Stanton County, Kansas",2006
982,".Stevens County, Kansas",5485
983,".Sumner County, Kansas",22836
984,".Thomas County, Kansas",7777
985,".Trego County, Kansas",2803
986,".Wabaunsee County, Kansas",6931
987,".Wallace County, Kansas",1518
988,".Washington County, Kansas",5406
989,".Wichita County, Kansas",2119
990,".Wilson County, Kansas",8525
991,".Woodson County, Kansas",3138
992,".Wyandotte County, Kansas",165429
993,".Adair County, Kentucky",19202
994,".Allen County, Kentucky",21315
995,".Anderson County, Kentucky",22747
996,".Ballard County, Kentucky",7888
997,".Barren County, Kentucky",44249
998,".Bath County, Kentucky",12500
999,".Bell County, Kentucky",26032
1000,".Boone County, Kentucky",133581
1001,".Bourbon County, Kentucky",19788
1002,".Boyd County, Kentucky",46718
1003,".Boyle County, Kentucky",30060
1004,".Bracken County, Kentucky",8303
1005,".Breathitt County, Kentucky",12630
1006,".Breckinridge County, Kentucky",20477
1007,".Bullitt County, Kentucky",81676
1008,".Butler County, Kentucky",12879
1009,".Caldwell County, Kentucky",12747
1010,".Calloway County, Kentucky",39001
1011,".Campbell County, Kentucky",93584
1012,".Carlisle County, Kentucky",4760
1013,".Carroll County, Kentucky",10631
1014,".Carter County, Kentucky",26797
1015,".Casey County, Kentucky",16159
1016,".Christian County, Kentucky",70461
1017,".Clark County, Kentucky",36263
1018,".Clay County, Kentucky",19901
1019,".Clinton County, Kentucky",10218
1020,".Crittenden County, Kentucky",8806
1021,".Cumberland County, Kentucky",6614
1022,".Daviess County, Kentucky",101511
1023,".Edmonson County, Kentucky",12150
1024,".Elliott County, Kentucky",7517
1025,".Estill County, Kentucky",14106
1026,".Fayette County, Kentucky",323152
1027,".Fleming County, Kentucky",14581
1028,".Floyd County, Kentucky",35589
1029,".Franklin County, Kentucky",50991
1030,".Fulton County, Kentucky",5969
1031,".Gallatin County, Kentucky",8869
1032,".Garrard County, Kentucky",17666
1033,".Grant County, Kentucky",25069
1034,".Graves County, Kentucky",37266
1035,".Grayson County, Kentucky",26427
1036,".Green County, Kentucky",10941
1037,".Greenup County, Kentucky",35098
1038,".Hancock County, Kentucky",8722
1039,".Hardin County, Kentucky",110958
1040,".Harlan County, Kentucky",26010
1041,".Harrison County, Kentucky",18886
1042,".Hart County, Kentucky",19035
1043,".Henderson County, Kentucky",45210
1044,".Henry County, Kentucky",16126
1045,".Hickman County, Kentucky",4380
1046,".Hopkins County, Kentucky",44686
1047,".Jackson County, Kentucky",13329
1048,".Jefferson County, Kentucky",766757
1049,".Jessamine County, Kentucky",54115
1050,".Johnson County, Kentucky",22188
1051,".Kenton County, Kentucky",166998
1052,".Knott County, Kentucky",14806
1053,".Knox County, Kentucky",31145
1054,".Larue County, Kentucky",14398
1055,".Laurel County, Kentucky",60813
1056,".Lawrence County, Kentucky",15317
1057,".Lee County, Kentucky",7403
1058,".Leslie County, Kentucky",9877
1059,".Letcher County, Kentucky",21553
1060,".Lewis County, Kentucky",13275
1061,".Lincoln County, Kentucky",24549
1062,".Livingston County, Kentucky",9194
1063,".Logan County, Kentucky",27102
1064,".Lyon County, Kentucky",8210
1065,".McCracken County, Kentucky",65418
1066,".McCreary County, Kentucky",17231
1067,".McLean County, Kentucky",9207
1068,".Madison County, Kentucky",92987
1069,".Magoffin County, Kentucky",12161
1070,".Marion County, Kentucky",19273
1071,".Marshall County, Kentucky",31100
1072,".Martin County, Kentucky",11195
1073,".Mason County, Kentucky",17070
1074,".Meade County, Kentucky",28572
1075,".Menifee County, Kentucky",6489
1076,".Mercer County, Kentucky",21933
1077,".Metcalfe County, Kentucky",10071
1078,".Monroe County, Kentucky",10650
1079,".Montgomery County, Kentucky",28157
1080,".Morgan County, Kentucky",13309
1081,".Muhlenberg County, Kentucky",30622
1082,".Nelson County, Kentucky",46233
1083,".Nicholas County, Kentucky",7269
1084,".Ohio County, Kentucky",23994
1085,".Oldham County, Kentucky",66799
1086,".Owen County, Kentucky",10901
1087,".Owsley County, Kentucky",4415
1088,".Pendleton County, Kentucky",14590
1089,".Perry County, Kentucky",25758
1090,".Pike County, Kentucky",57876
1091,".Powell County, Kentucky",12359
1092,".Pulaski County, Kentucky",64979
1093,".Robertson County, Kentucky",2108
1094,".Rockcastle County, Kentucky",16695
1095,".Rowan County, Kentucky",24460
1096,".Russell County, Kentucky",17923
1097,".Scott County, Kentucky",57004
1098,".Shelby County, Kentucky",49024
1099,".Simpson County, Kentucky",18572
1100,".Spencer County, Kentucky",19351
1101,".Taylor County, Kentucky",25769
1102,".Todd County, Kentucky",12294
1103,".Trigg County, Kentucky",14651
1104,".Trimble County, Kentucky",8471
1105,".Union County, Kentucky",14381
1106,".Warren County, Kentucky",132896
1107,".Washington County, Kentucky",12095
1108,".Wayne County, Kentucky",20333
1109,".Webster County, Kentucky",12942
1110,".Whitley County, Kentucky",36264
1111,".Wolfe County, Kentucky",7157
1112,".Woodford County, Kentucky",26734
1113,".Acadia Parish, Louisiana",62045
1114,".Allen Parish, Louisiana",25627
1115,".Ascension Parish, Louisiana",126604
1116,".Assumption Parish, Louisiana",21891
1117,".Avoyelles Parish, Louisiana",40144
1118,".Beauregard Parish, Louisiana",37497
1119,".Bienville Parish, Louisiana",13241
1120,".Bossier Parish, Louisiana",127039
1121,".Caddo Parish, Louisiana",240204
1122,".Calcasieu Parish, Louisiana",203436
1123,".Caldwell Parish, Louisiana",9918
1124,".Cameron Parish, Louisiana",6973
1125,".Catahoula Parish, Louisiana",9494
1126,".Claiborne Parish, Louisiana",15670
1127,".Concordia Parish, Louisiana",19259
1128,".De Soto Parish, Louisiana",27463
1129,".East Baton Rouge Parish, Louisiana",440059
1130,".East Carroll Parish, Louisiana",6861
1131,".East Feliciana Parish, Louisiana",19135
1132,".Evangeline Parish, Louisiana",33395
1133,".Franklin Parish, Louisiana",20015
1134,".Grant Parish, Louisiana",22389
1135,".Iberia Parish, Louisiana",69830
1136,".Iberville Parish, Louisiana",32511
1137,".Jackson Parish, Louisiana",15744
1138,".Jefferson Parish, Louisiana",432493
1139,".Jefferson Davis Parish, Louisiana",31368
1140,".Lafayette Parish, Louisiana",244390
1141,".Lafourche Parish, Louisiana",97614
1142,".LaSalle Parish, Louisiana",14892
1143,".Lincoln Parish, Louisiana",46742
1144,".Livingston Parish, Louisiana",140789
1145,".Madison Parish, Louisiana",10951
1146,".Morehouse Parish, Louisiana",24874
1147,".Natchitoches Parish, Louisiana",38158
1148,".Orleans Parish, Louisiana",390144
1149,".Ouachita Parish, Louisiana",153279
1150,".Plaquemines Parish, Louisiana",23197
1151,".Pointe Coupee Parish, Louisiana",21730
1152,".Rapides Parish, Louisiana",129648
1153,".Red River Parish, Louisiana",8442
1154,".Richland Parish, Louisiana",20122
1155,".Sabine Parish, Louisiana",23884
1156,".St. Bernard Parish, Louisiana",47244
1157,".St. Charles Parish, Louisiana",53100
1158,".St. Helena Parish, Louisiana",10132
1159,".St. James Parish, Louisiana",21096
1160,".St. John the Baptist Parish, Louisiana",42837
1161,".St. Landry Parish, Louisiana",82124
1162,".St. Martin Parish, Louisiana",53431
1163,".St. Mary Parish, Louisiana",49348
1164,".St. Tammany Parish, Louisiana",260419
1165,".Tangipahoa Parish, Louisiana",134758
1166,".Tensas Parish, Louisiana",4334
1167,".Terrebonne Parish, Louisiana",110461
1168,".Union Parish, Louisiana",22108
1169,".Vermilion Parish, Louisiana",59511
1170,".Vernon Parish, Louisiana",47429
1171,".Washington Parish, Louisiana",46194
1172,".Webster Parish, Louisiana",38340
1173,".West Baton Rouge Parish, Louisiana",26465
1174,".West Carroll Parish, Louisiana",10830
1175,".West Feliciana Parish, Louisiana",15568
1176,".Winn Parish, Louisiana",13904
1177,".Androscoggin County, Maine",108277
1178,".Aroostook County, Maine",67055
1179,".Cumberland County, Maine",295003
1180,".Franklin County, Maine",30199
1181,".Hancock County, Maine",54987
1182,".Kennebec County, Maine",122302
1183,".Knox County, Maine",39772
1184,".Lincoln County, Maine",34634
1185,".Oxford County, Maine",57975
1186,".Penobscot County, Maine",152148
1187,".Piscataquis County, Maine",16785
1188,".Sagadahoc County, Maine",35856
1189,".Somerset County, Maine",50484
1190,".Waldo County, Maine",39715
1191,".Washington County, Maine",31379
1192,".York County, Maine",207641
1193,".Allegany County, Maryland",70416
1194,".Anne Arundel County, Maryland",579234
1195,".Baltimore County, Maryland",827370
1196,".Calvert County, Maryland",92525
1197,".Caroline County, Maryland",33406
1198,".Carroll County, Maryland",168447
1199,".Cecil County, Maryland",102855
1200,".Charles County, Maryland",163257
1201,".Dorchester County, Maryland",31929
1202,".Frederick County, Maryland",259547
1203,".Garrett County, Maryland",29014
1204,".Harford County, Maryland",255441
1205,".Howard County, Maryland",325690
1206,".Kent County, Maryland",19422
1207,".Montgomery County, Maryland",1050688
1208,".Prince George's County, Maryland",909327
1209,".Queen Anne's County, Maryland",50381
1210,".St. Mary's County, Maryland",113510
1211,".Somerset County, Maryland",25616
1212,".Talbot County, Maryland",37181
1213,".Washington County, Maryland",151049
1214,".Wicomico County, Maryland",103609
1215,".Worcester County, Maryland",52276
1216,".Baltimore city, Maryland",593490
1217,".Barnstable County, Massachusetts",212990
1218,".Berkshire County, Massachusetts",124944
1219,".Bristol County, Massachusetts",565217
1220,".Dukes County, Massachusetts",17332
1221,".Essex County, Massachusetts",789034
1222,".Franklin County, Massachusetts",70180
1223,".Hampden County, Massachusetts",466372
1224,".Hampshire County, Massachusetts",160830
1225,".Middlesex County, Massachusetts",1611699
1226,".Nantucket County, Massachusetts",11399
1227,".Norfolk County, Massachusetts",706775
1228,".Plymouth County, Massachusetts",521202
1229,".Suffolk County, Massachusetts",803907
1230,".Worcester County, Massachusetts",830622
1231,".Alcona County, Michigan",10405
1232,".Alger County, Michigan",9108
1233,".Allegan County, Michigan",118081
1234,".Alpena County, Michigan",28405
1235,".Antrim County, Michigan",23324
1236,".Arenac County, Michigan",14883
1237,".Baraga County, Michigan",8209
1238,".Barry County, Michigan",61550
1239,".Bay County, Michigan",103126
1240,".Benzie County, Michigan",17766
1241,".Berrien County, Michigan",153401
1242,".Branch County, Michigan",43517
1243,".Calhoun County, Michigan",134159
1244,".Cass County, Michigan",51787
1245,".Charlevoix County, Michigan",26143
1246,".Cheboygan County, Michigan",25276
1247,".Chippewa County, Michigan",37349
1248,".Clare County, Michigan",30950
1249,".Clinton County, Michigan",79595
1250,".Crawford County, Michigan",14029
1251,".Delta County, Michigan",35784
1252,".Dickinson County, Michigan",25239
1253,".Eaton County, Michigan",110268
1254,".Emmet County, Michigan",33415
1255,".Genesee County, Michigan",405813
1256,".Gladwin County, Michigan",25449
1257,".Gogebic County, Michigan",13975
1258,".Grand Traverse County, Michigan",93088
1259,".Gratiot County, Michigan",40711
1260,".Hillsdale County, Michigan",45605
1261,".Houghton County, Michigan",35684
1262,".Huron County, Michigan",30981
1263,".Ingham County, Michigan",292406
1264,".Ionia County, Michigan",64697
1265,".Iosco County, Michigan",25127
1266,".Iron County, Michigan",11066
1267,".Isabella County, Michigan",69872
1268,".Jackson County, Michigan",158510
1269,".Kalamazoo County, Michigan",265066
1270,".Kalkaska County, Michigan",18038
1271,".Kent County, Michigan",656955
1272,".Keweenaw County, Michigan",2116
1273,".Lake County, Michigan",11853
1274,".Lapeer County, Michigan",87607
1275,".Leelanau County, Michigan",21761
1276,".Lenawee County, Michigan",98451
1277,".Livingston County, Michigan",191995
1278,".Luce County, Michigan",6229
1279,".Mackinac County, Michigan",10799
1280,".Macomb County, Michigan",873972
1281,".Manistee County, Michigan",24558
1282,".Marquette County, Michigan",66699
1283,".Mason County, Michigan",29144
1284,".Mecosta County, Michigan",43453
1285,".Menominee County, Michigan",22780
1286,".Midland County, Michigan",83156
1287,".Missaukee County, Michigan",15118
1288,".Monroe County, Michigan",150500
1289,".Montcalm County, Michigan",63888
1290,".Montmorency County, Michigan",9328
1291,".Muskegon County, Michigan",173566
1292,".Newaygo County, Michigan",48980
1293,".Oakland County, Michigan",1257584
1294,".Oceana County, Michigan",26467
1295,".Ogemaw County, Michigan",20997
1296,".Ontonagon County, Michigan",5720
1297,".Osceola County, Michigan",23460
1298,".Oscoda County, Michigan",8241
1299,".Otsego County, Michigan",24668
1300,".Ottawa County, Michigan",291830
1301,".Presque Isle County, Michigan",12592
1302,".Roscommon County, Michigan",24019
1303,".Saginaw County, Michigan",190539
1304,".St. Clair County, Michigan",159128
1305,".St. Joseph County, Michigan",60964
1306,".Sanilac County, Michigan",41170
1307,".Schoolcraft County, Michigan",8094
1308,".Shiawassee County, Michigan",68122
1309,".Tuscola County, Michigan",52245
1310,".Van Buren County, Michigan",75677
1311,".Washtenaw County, Michigan",367601
1312,".Wayne County, Michigan",1749343
1313,".Wexford County, Michigan",33631
1314,".Aitkin County, Minnesota",15886
1315,".Anoka County, Minnesota",356921
1316,".Becker County, Minnesota",34423
1317,".Beltrami County, Minnesota",47188
1318,".Benton County, Minnesota",40889
1319,".Big Stone County, Minnesota",4991
1320,".Blue Earth County, Minnesota",67653
1321,".Brown County, Minnesota",25008
1322,".Carlton County, Minnesota",35871
1323,".Carver County, Minnesota",105089
1324,".Cass County, Minnesota",29779
1325,".Chippewa County, Minnesota",11800
1326,".Chisago County, Minnesota",56579
1327,".Clay County, Minnesota",64222
1328,".Clearwater County, Minnesota",8818
1329,".Cook County, Minnesota",5463
1330,".Cottonwood County, Minnesota",11196
1331,".Crow Wing County, Minnesota",65055
1332,".Dakota County, Minnesota",429021
1333,".Dodge County, Minnesota",20934
1334,".Douglas County, Minnesota",38141
1335,".Faribault County, Minnesota",13653
1336,".Fillmore County, Minnesota",21067
1337,".Freeborn County, Minnesota",30281
1338,".Goodhue County, Minnesota",46340
1339,".Grant County, Minnesota",5972
1340,".Hennepin County, Minnesota",1265843
1341,".Houston County, Minnesota",18600
1342,".Hubbard County, Minnesota",21491
1343,".Isanti County, Minnesota",40596
1344,".Itasca County, Minnesota",45130
1345,".Jackson County, Minnesota",9846
1346,".Kanabec County, Minnesota",16337
1347,".Kandiyohi County, Minnesota",43199
1348,".Kittson County, Minnesota",4298
1349,".Koochiching County, Minnesota",12229
1350,".Lac qui Parle County, Minnesota",6623
1351,".Lake County, Minnesota",10641
1352,".Lake of the Woods County, Minnesota",3740
1353,".Le Sueur County, Minnesota",28887
1354,".Lincoln County, Minnesota",5639
1355,".Lyon County, Minnesota",25474
1356,".McLeod County, Minnesota",35893
1357,".Mahnomen County, Minnesota",5527
1358,".Marshall County, Minnesota",9336
1359,".Martin County, Minnesota",19683
1360,".Meeker County, Minnesota",23222
1361,".Mille Lacs County, Minnesota",26277
1362,".Morrison County, Minnesota",33386
1363,".Mower County, Minnesota",40062
1364,".Murray County, Minnesota",8194
1365,".Nicollet County, Minnesota",34274
1366,".Nobles County, Minnesota",21629
1367,".Norman County, Minnesota",6375
1368,".Olmsted County, Minnesota",158293
1369,".Otter Tail County, Minnesota",58746
1370,".Pennington County, Minnesota",14119
1371,".Pine County, Minnesota",29579
1372,".Pipestone County, Minnesota",9126
1373,".Polk County, Minnesota",31364
1374,".Pope County, Minnesota",11249
1375,".Ramsey County, Minnesota",550321
1376,".Red Lake County, Minnesota",4055
1377,".Redwood County, Minnesota",15170
1378,".Renville County, Minnesota",14548
1379,".Rice County, Minnesota",66972
1380,".Rock County, Minnesota",9315
1381,".Roseau County, Minnesota",15165
1382,".St. Louis County, Minnesota",199070
1383,".Scott County, Minnesota",149013
1384,".Sherburne County, Minnesota",97238
1385,".Sibley County, Minnesota",14865
1386,".Stearns County, Minnesota",161075
1387,".Steele County, Minnesota",36649
1388,".Stevens County, Minnesota",9805
1389,".Swift County, Minnesota",9266
1390,".Todd County, Minnesota",24664
1391,".Traverse County, Minnesota",3259
1392,".Wabasha County, Minnesota",21627
1393,".Wadena County, Minnesota",13682
1394,".Waseca County, Minnesota",18612
1395,".Washington County, Minnesota",262440
1396,".Watonwan County, Minnesota",10897
1397,".Wilkin County, Minnesota",6207
1398,".Winona County, Minnesota",50484
1399,".Wright County, Minnesota",138377
1400,".Yellow Medicine County, Minnesota",9709
1401,".Adams County, Mississippi",30693
1402,".Alcorn County, Mississippi",36953
1403,".Amite County, Mississippi",12297
1404,".Attala County, Mississippi",18174
1405,".Benton County, Mississippi",8259
1406,".Bolivar County, Mississippi",30628
1407,".Calhoun County, Mississippi",14361
1408,".Carroll County, Mississippi",9947
1409,".Chickasaw County, Mississippi",17103
1410,".Choctaw County, Mississippi",8210
1411,".Claiborne County, Mississippi",8988
1412,".Clarke County, Mississippi",15541
1413,".Clay County, Mississippi",19316
1414,".Coahoma County, Mississippi",22124
1415,".Copiah County, Mississippi",28065
1416,".Covington County, Mississippi",18636
1417,".DeSoto County, Mississippi",184945
1418,".Forrest County, Mississippi",74897
1419,".Franklin County, Mississippi",7713
1420,".George County, Mississippi",24500
1421,".Greene County, Mississippi",13586
1422,".Grenada County, Mississippi",20758
1423,".Hancock County, Mississippi",47632
1424,".Harrison County, Mississippi",208080
1425,".Hinds County, Mississippi",231840
1426,".Holmes County, Mississippi",17010
1427,".Humphreys County, Mississippi",8064
1428,".Issaquena County, Mississippi",1327
1429,".Itawamba County, Mississippi",23390
1430,".Jackson County, Mississippi",143617
1431,".Jasper County, Mississippi",16383
1432,".Jefferson County, Mississippi",6990
1433,".Jefferson Davis County, Mississippi",11128
1434,".Jones County, Mississippi",68098
1435,".Kemper County, Mississippi",9742
1436,".Lafayette County, Mississippi",54019
1437,".Lamar County, Mississippi",63343
1438,".Lauderdale County, Mississippi",74125
1439,".Lawrence County, Mississippi",12586
1440,".Leake County, Mississippi",22786
1441,".Lee County, Mississippi",85436
1442,".Leflore County, Mississippi",28183
1443,".Lincoln County, Mississippi",34153
1444,".Lowndes County, Mississippi",58595
1445,".Madison County, Mississippi",106272
1446,".Marion County, Mississippi",24573
1447,".Marshall County, Mississippi",35294
1448,".Monroe County, Mississippi",35252
1449,".Montgomery County, Mississippi",9775
1450,".Neshoba County, Mississippi",29118
1451,".Newton County, Mississippi",21018
1452,".Noxubee County, Mississippi",10417
1453,".Oktibbeha County, Mississippi",49587
1454,".Panola County, Mississippi",34192
1455,".Pearl River County, Mississippi",55535
1456,".Perry County, Mississippi",11973
1457,".Pike County, Mississippi",39288
1458,".Pontotoc County, Mississippi",32174
1459,".Prentiss County, Mississippi",25126
1460,".Quitman County, Mississippi",6792
1461,".Rankin County, Mississippi",155271
1462,".Scott County, Mississippi",28124
1463,".Sharkey County, Mississippi",4321
1464,".Simpson County, Mississippi",26658
1465,".Smith County, Mississippi",15916
1466,".Stone County, Mississippi",18336
1467,".Sunflower County, Mississippi",25110
1468,".Tallahatchie County, Mississippi",13809
1469,".Tate County, Mississippi",28321
1470,".Tippah County, Mississippi",22015
1471,".Tishomingo County, Mississippi",19383
1472,".Tunica County, Mississippi",9632
1473,".Union County, Mississippi",28815
1474,".Walthall County, Mississippi",14286
1475,".Warren County, Mississippi",45381
1476,".Washington County, Mississippi",43909
1477,".Wayne County, Mississippi",20183
1478,".Webster County, Mississippi",9689
1479,".Wilkinson County, Mississippi",8630
1480,".Winston County, Mississippi",17955
1481,".Yalobusha County, Mississippi",12108
1482,".Yazoo County, Mississippi",29690
1483,".Adair County, Missouri",25343
1484,".Andrew County, Missouri",17712
1485,".Atchison County, Missouri",5143
1486,".Audrain County, Missouri",25388
1487,".Barry County, Missouri",35789
1488,".Barton County, Missouri",11754
1489,".Bates County, Missouri",16172
1490,".Benton County, Missouri",19443
1491,".Bollinger County, Missouri",12133
1492,".Boone County, Missouri",180463
1493,".Buchanan County, Missouri",87364
1494,".Butler County, Missouri",42478
1495,".Caldwell County, Missouri",9020
1496,".Callaway County, Missouri",44743
1497,".Camden County, Missouri",46305
1498,".Cape Girardeau County, Missouri",78871
1499,".Carroll County, Missouri",8679
1500,".Carter County, Missouri",5982
1501,".Cass County, Missouri",105780
1502,".Cedar County, Missouri",14349
1503,".Chariton County, Missouri",7426
1504,".Christian County, Missouri",88595
1505,".Clark County, Missouri",6797
1506,".Clay County, Missouri",249948
1507,".Clinton County, Missouri",20387
1508,".Cole County, Missouri",76745
1509,".Cooper County, Missouri",17709
1510,".Crawford County, Missouri",23920
1511,".Dade County, Missouri",7561
1512,".Dallas County, Missouri",16878
1513,".Daviess County, Missouri",8278
1514,".DeKalb County, Missouri",12547
1515,".Dent County, Missouri",15573
1516,".Douglas County, Missouri",13185
1517,".Dunklin County, Missouri",29131
1518,".Franklin County, Missouri",103967
1519,".Gasconade County, Missouri",14706
1520,".Gentry County, Missouri",6571
1521,".Greene County, Missouri",293086
1522,".Grundy County, Missouri",9850
1523,".Harrison County, Missouri",8352
1524,".Henry County, Missouri",21824
1525,".Hickory County, Missouri",9544
1526,".Holt County, Missouri",4403
1527,".Howard County, Missouri",10001
1528,".Howell County, Missouri",40117
1529,".Iron County, Missouri",10125
1530,".Jackson County, Missouri",703011
1531,".Jasper County, Missouri",121328
1532,".Jefferson County, Missouri",225081
1533,".Johnson County, Missouri",54062
1534,".Knox County, Missouri",3959
1535,".Laclede County, Missouri",35723
1536,".Lafayette County, Missouri",32708
1537,".Lawrence County, Missouri",38355
1538,".Lewis County, Missouri",9776
1539,".Lincoln County, Missouri",59013
1540,".Linn County, Missouri",11920
1541,".Livingston County, Missouri",15227
1542,".McDonald County, Missouri",22837
1543,".Macon County, Missouri",15117
1544,".Madison County, Missouri",12088
1545,".Maries County, Missouri",8697
1546,".Marion County, Missouri",28530
1547,".Mercer County, Missouri",3617
1548,".Miller County, Missouri",25619
1549,".Mississippi County, Missouri",13180
1550,".Moniteau County, Missouri",16132
1551,".Monroe County, Missouri",8644
1552,".Montgomery County, Missouri",11551
1553,".Morgan County, Missouri",20627
1554,".New Madrid County, Missouri",17076
1555,".Newton County, Missouri",58236
1556,".Nodaway County, Missouri",22092
1557,".Oregon County, Missouri",10529
1558,".Osage County, Missouri",13615
1559,".Ozark County, Missouri",9174
1560,".Pemiscot County, Missouri",15805
1561,".Perry County, Missouri",19136
1562,".Pettis County, Missouri",42339
1563,".Phelps County, Missouri",44573
1564,".Pike County, Missouri",18302
1565,".Platte County, Missouri",104418
1566,".Polk County, Missouri",32149
1567,".Pulaski County, Missouri",52607
1568,".Putnam County, Missouri",4696
1569,".Ralls County, Missouri",10309
1570,".Randolph County, Missouri",24748
1571,".Ray County, Missouri",23018
